JobName,JobColor
Dev-aks-application-restore-from-backup,blue
Dev-analysis-test,red
Dev-apijar-testresult-master-stats,blue
Dev-apijar-testresult-stats,blue
Dev-application-redis-minio-oesdb-restore-from-GitHub-Job1,blue
Dev-application-redis-minio-oesdb-restore-from-GitHub-Job2,blue
Dev-application-redis-minio-restore,notbuilt
Dev-Approval-test,blue
Dev-arraytest,blue
Dev-audit-client-build-branch,blue
Dev-Audit-client-publish-image,blue
Dev-audit-service-jpa,blue
Dev-auditservice-build-branch,blue
Dev-AuditService-publish-image,blue
Dev-autopilot-11-build-branch,blue
Dev-AutoPilot-Baselinebuild,aborted
Dev-autopilot-build-branch-ds-ms,blue
Dev-AutoPilot-Canarybuild,red
Dev-Autopilot-Sonar,red
Dev-Autopilot_Test-AonA,red
Dev-Autopilot_Test_PR_New,blue
Dev-aws-scale-cluster,blue
Dev-Azure-reports-generation,blue
Dev-Baseline-Canary-Logs,red
Dev-build-analytics-master,blue
Dev-build-auditclient-master,blue
Dev-build-auditservice-master,blue
Dev-build-commongate-branch,blue
Dev-build-commongate-master,blue
Dev-build-dashboard-master,blue
Dev-build-datascience-master,blue
Dev-build-oes-api-master,blue
Dev-build-platform-master,blue
Dev-build-visibility-master,blue
Dev-config-data-bkp,blue
Dev-create-GCP-cluster,aborted
Dev-custom-plugin-release,blue
Dev-custom-resize-gcp-cluster,blue
Dev-custom-stop-cluster,blue
Dev-dashboardservice-build-branch,blue
Dev-dashboardservice-build-branch-vault,blue
Dev-datascience-publish-image,blue
Dev-DATASCIENCE_TEST_PR,blue
Dev-Datasource-plugin-api,blue
Dev-deallocate-albertson,red
Dev-deallocate-production-spin,disabled
Dev-Delete-Evicted-pods,blue
Dev-demo,notbuilt
Dev-Deploy_Cloud,notbuilt
Dev-Do-Nothing,blue
Dev-docker-pipeline,red
Dev-ds-build-branch-ds-ms,blue
Dev-Email-Report,blue
Dev-gate-image-with-plugins,red
Dev-gate-job-pranav,red
Dev-gcp-scale-down,blue
Dev-gcp-scale-up,blue
Dev-get-Jira-stats,blue
Dev-hal-backup,red
Dev-harbor-clean-images,disabled
Dev-harborpush-images,aborted
Dev-ibm-AonA-Stop,blue
Dev-ibm-staging-stop,blue
Dev-ibm-target-start,blue
Dev-ibm-target-stop,blue
Dev-jenkins-anlysis,red
Dev-jenkins-Log-Metric-Anlysis,blue
Dev-Jenkins-success-failure-stats,blue
Dev-jenkins-trigger-pipeline,blue
Dev-JenkinsDiskClean,blue
Dev-kube-roles,blue
Dev-mail-3.0,blue
Dev-maven,notbuilt
Dev-michael-autopilot-build-branch,blue
Dev-michael-autopilot-build-tag,blue
Dev-nexus-restapp,red
Dev-OES-Dasboard-Sonar,blue
Dev-oes-dashboard-publish-image,blue
Dev-oes-gate-publish-image,blue
Dev-OES-Gate-Sonar,blue
Dev-oes-platform-publish-image,blue
Dev-OES-Platform-Sonar,blue
Dev-oes-sapor-publish-image,blue
Dev-OES-Sapor-Sonar,blue
Dev-Oes-Test,blue
Dev-OES-UI-Sonar,blue
Dev-Oes-UI-Test,blue
Dev-oes-visibility-publish-image,blue
Dev-OES-Visibility-Sonar,blue
Dev-OES-Visibility-Sonar-branch,blue
Dev-OpsMx-SAAS-SPINNAKER-OES-Backup,red
Dev-opsmxsaas-application-backup,red
Dev-orca-image-with-plugins,red
Dev-platformservice-build,notbuilt
Dev-platformservice-build-branch,blue
Dev-platformservice-build-branch-vault,blue
Dev-PR_dorebase,blue
Dev-PROD-OES-UI-publish-image-UI-Versions,blue
Dev-Production-SPINNAKER-OES-Backup,blue
Dev-pspin-application-pipeline-restore-from-backup,blue
Dev-RC-Audit-client-build,blue
Dev-RC-AuditService-build,blue
Dev-RC-autopilot-build-tag,blue
Dev-RC-Common-Gate-publish-image,blue
Dev-RC-dashboard-publish-image,blue
Dev-RC-datascience-build-tag,blue
Dev-RC-platform-publish-image,blue
Dev-RC-sapor-publish-image,blue
Dev-RC-ui-publish-image-UI-Versions,blue
Dev-RC-visibility-publish-image,blue
Dev-reports,blue
Dev-Restapp-Build-Branch,blue
Dev-Restapp-Build-Branch-Sonar,blue
Dev-Restapp-GCP-Pipeline,blue
Dev-Restapp-Jfrog-pipeline,blue
Dev-Restapp-Jfrog-sonar,blue
Dev-RestApp_Build,blue
Dev-robin-buildRun-using-docker,blue
Dev-run-tests-on-baseline-aonaPipeline,blue
Dev-run-tests-on-canary-aonaPipeline,blue
Dev-run-tests-on-gcp-staging-qa,notbuilt
Dev-run-tests-on-gitpr-parallel,blue
Dev-run-tests-on-ibm-gitpr-parallel,blue
Dev-run-tests-on-release-qa,blue
Dev-run-tests-on-staging,blue
Dev-run-tests-staging-qa,blue
Dev-sa-kube-generate,red
Dev-sapor-build-branch,blue
Dev-secrets-management-plugin,blue
Dev-sessionid-oes-3.x,blue
Dev-sessionid-oes-contextual-3.x,blue
Dev-start-albertson,blue
Dev-start-cluster,blue
Dev-start-EFK-cluster,blue
Dev-start-production-spin,blue
Dev-stats,blue
Dev-Stop-AKS-resource,red
Dev-Test-PR-Build-alltests,blue
Dev-Test-PR-Build-parallel,blue
Dev-test-Saas-Restroe,blue
Dev-Test_PR-oes-api,blue
Dev-Test_PR-oes-ui,blue
Dev-testoesdb,blue
Dev-testruns-release,blue
Dev-ui-master-build,blue
Dev-visibilityservice-build-branch,blue
Dev-visibilityservice-build-branch-vault,blue
